timestamp,camera,ball_2d_x,ball_2d_y,ball_2d_area,ball_3d_x,ball_3d_y,ball_3d_z,tag4_x,tag4_y,tag4_z,tag5_x,tag5_y,tag5_z,detected_kreo1,detected_kreo2
1765189002.540,kreo2,605,237,356,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.567,kreo1,656,657,792,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.576,kreo2,605,237,370,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.600,kreo1,656,657,786,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.607,kreo2,605,237,370,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.636,kreo1,656,656,806,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.650,kreo2,605,237,364,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.668,kreo1,656,657,796,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.676,kreo2,605,238,380,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.700,kreo1,656,658,810,0.9604317199437694,0.8646257215284588,0.1286100533554169,,,,,,,True,True
1765189002.718,kreo2,605,237,374,0.9604317199437694,0.8646257215284588,0.1286100533554169,,,,,,,True,True
1765189002.765,kreo1,656,656,742,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.777,kreo2,605,238,382,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.800,kreo1,656,656,792,0.9604317199437694,0.8646257215284588,0.1286100533554169,,,,,,,True,True
1765189002.808,kreo2,605,237,360,0.9604317199437694,0.8646257215284588,0.1286100533554169,,,,,,,True,True
1765189002.834,kreo1,657,657,836,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.840,kreo2,605,237,356,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.864,kreo1,656,656,778,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.877,kreo2,605,237,362,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.900,kreo1,656,658,840,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.917,kreo2,606,237,388,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.948,kreo2,605,237,368,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.964,kreo1,656,656,764,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189002.979,kreo2,604,237,390,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189003.013,kreo2,605,237,360,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189003.032,kreo1,657,657,852,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189003.039,kreo2,606,237,374,0.9621709441121489,0.8664117746042271,0.130506976069657,,,,,,,True,True
1765189003.066,kreo1,656,657,752,0.9634592805100912,0.8647125646504392,0.13169410993976244,,,,,,,True,True
1765189003.092,kreo2,605,237,362,0.9634592805100912,0.8647125646504392,0.13169410993976244,,,,,,,True,True
1765189003.101,kreo1,656,657,826,0.9634592805100912,0.8647125646504392,0.13169410993976244,,,,,,,True,True
1765189003.124,kreo2,605,237,370,0.9634592805100912,0.8647125646504392,0.13169410993976244,,,,,,,True,True
1765189003.132,kreo1,657,658,872,0.9634592805100912,0.8647125646504392,0.13169410993976244,,,,,,,True,True
1765189003.157,kreo2,605,237,356,0.9634592805100912,0.8647125646504392,0.13169410993976244,,,,,,,True,True
1765189003.164,kreo1,656,656,750,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.191,kreo2,606,237,372,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.204,kreo1,656,657,806,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.225,kreo2,605,237,362,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.235,kreo1,656,658,858,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.258,kreo2,605,237,374,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.271,kreo1,656,656,774,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.301,kreo1,656,657,804,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.327,kreo2,605,237,374,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.358,kreo2,606,237,378,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.365,kreo1,656,657,768,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.398,kreo2,605,237,354,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.407,kreo1,656,658,846,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.424,kreo2,605,237,376,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
1765189003.433,kreo1,656,657,822,0.9635727107531553,0.8695105543717462,0.1280537420290172,,,,,,,True,True
