timestamp,camera,ball_2d_x,ball_2d_y,ball_2d_area,ball_3d_x,ball_3d_y,ball_3d_z,tag4_x,tag4_y,tag4_z,tag5_x,tag5_y,tag5_z,detected_kreo1,detected_kreo2
1763931998.187,kreo2,958,61,944,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.191,kreo1,348,344,1738,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.210,kreo2,952,64,904,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.236,kreo1,370,345,1660,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.247,kreo2,943,73,910,,,,,,,0.6667346161707517,0.26328850710922597,-0.04269325672273466,True,True
1763931998.271,kreo2,933,83,894,,,,,,,0.6692334950377276,0.2708491491820885,-0.05312436226597672,True,True
1763931998.271,kreo1,389,349,1602,,,,,,,0.6692334950377276,0.2708491491820885,-0.05312436226597672,True,True
1763931998.302,kreo1,399,350,1440,,,,,,,0.6546214339369514,0.23481368762678798,-0.0032640936283428734,True,True
1763931998.310,kreo2,924,93,900,,,,,,,0.6546214339369514,0.23481368762678798,-0.0032640936283428734,True,True
1763931998.331,kreo1,,,,,,,,,,0.6546214339369514,0.23481368762678798,-0.0032640936283428734,False,True
1763931998.340,kreo2,917,103,942,,,,,,,0.6546214339369514,0.23481368762678798,-0.0032640936283428734,False,True
1763931998.352,kreo1,,,,,,,,,,0.6546214339369514,0.23481368762678798,-0.0032640936283428734,False,True
1763931998.371,kreo2,910,113,884,,,,,,,0.6546214339369514,0.23481368762678798,-0.0032640936283428734,False,True
1763931998.370,kreo1,,,,,,,,,,0.6546214339369514,0.23481368762678798,-0.0032640936283428734,False,True
1763931998.402,kreo1,,,,,,,,,,0.6546214339369514,0.23481368762678798,-0.0032640936283428734,False,True
1763931998.409,kreo2,905,122,948,,,,,,,0.6546214339369514,0.23481368762678798,-0.0032640936283428734,False,True
1763931998.432,kreo1,,,,,,,,,,0.6546214339369514,0.23481368762678798,-0.0032640936283428734,False,True
1763931998.439,kreo2,901,130,970,,,,,,,0.6681368886980924,0.2675922214346021,-0.04850939063184362,False,True
1763931998.472,kreo2,896,137,872,,,,,,,0.6681368886980924,0.2675922214346021,-0.04850939063184362,False,True
1763931998.491,kreo1,,,,,,,,,,0.6681368886980924,0.2675922214346021,-0.04850939063184362,False,True
1763931998.507,kreo2,894,143,896,,,,,,,0.6681368886980924,0.2675922214346021,-0.04850939063184362,False,True
1763931998.511,kreo1,448,373,1348,,,,,,,0.6681368886980924,0.2675922214346021,-0.04850939063184362,True,True
1763931998.552,kreo1,451,376,1336,,,,,,,0.6681368886980924,0.2675922214346021,-0.04850939063184362,True,True
1763931998.577,kreo1,451,378,1324,,,,,,,0.6649912588859993,0.2585761551056396,-0.036060162811061724,True,True
1763931998.620,kreo2,889,159,886,,,,,,,0.6532420021660413,0.2312094719071016,0.002473335726833753,True,True
1763931998.619,kreo1,452,380,1408,,,,0.5757784893183945,0.28695931150520804,-0.10264023649695567,0.6532420021660413,0.2312094719071016,0.002473335726833753,True,True
1763931998.660,kreo2,886,164,894,,,,0.5757784893183945,0.28695931150520804,-0.10264023649695567,0.6581579486565435,0.24490670486807375,-0.016664652212855652,True,True
1763931998.687,kreo2,886,168,854,,,,0.5757784893183945,0.28695931150520804,-0.10264023649695567,0.6581579486565435,0.24490670486807375,-0.016664652212855652,True,True
1763931998.696,kreo1,457,389,1366,,,,0.5757784893183945,0.28695931150520804,-0.10264023649695567,0.6581579486565435,0.24490670486807375,-0.016664652212855652,True,True
1763931998.725,kreo2,886,171,822,,,,0.5757784893183945,0.28695931150520804,-0.10264023649695567,0.6581579486565435,0.24490670486807375,-0.016664652212855652,True,True
1763931998.735,kreo1,457,393,1310,,,,0.5757784893183945,0.28695931150520804,-0.10264023649695567,0.6581579486565435,0.24490670486807375,-0.016664652212855652,True,True
1763931998.756,kreo2,886,173,810,,,,0.5757784893183945,0.28695931150520804,-0.10264023649695567,0.6581579486565435,0.24490670486807375,-0.016664652212855652,True,True
1763931998.775,kreo1,455,398,1394,,,,0.5757784893183945,0.28695931150520804,-0.10264023649695567,0.6581579486565435,0.24490670486807375,-0.016664652212855652,True,True
1763931998.805,kreo1,453,400,1376,,,,0.5713723955808169,0.27602721621447124,-0.1158938986390077,0.6655113758107108,0.2598318518851424,-0.03782821900477262,True,True
1763931998.842,kreo1,450,406,1394,,,,0.5713723955808169,0.27602721621447124,-0.1158938986390077,0.6655113758107108,0.2598318518851424,-0.03782821900477262,True,True
1763931998.876,kreo1,449,411,1424,,,,0.5713723955808169,0.27602721621447124,-0.1158938986390077,0.6655113758107108,0.2598318518851424,-0.03782821900477262,True,True
1763931998.887,kreo2,887,183,802,,,,0.5713723955808169,0.27602721621447124,-0.1158938986390077,0.6655113758107108,0.2598318518851424,-0.03782821900477262,True,True
1763931998.916,kreo1,447,416,1346,,,,0.5713723955808169,0.27602721621447124,-0.1158938986390077,0.6655113758107108,0.2598318518851424,-0.03782821900477262,True,True
1763931998.949,kreo2,888,187,820,,,,0.5713723955808169,0.27602721621447124,-0.1158938986390077,0.6638855428628546,0.25964527219093037,-0.03993324143045146,True,True
1763931998.980,kreo2,888,189,782,,,,0.5713723955808169,0.27602721621447124,-0.1158938986390077,0.6655974403082389,0.2602497218038267,-0.03818624513448532,True,True
1763931999.017,kreo1,446,431,1324,,,,0.5713723955808169,0.27602721621447124,-0.1158938986390077,0.6655974403082389,0.2602497218038267,-0.03818624513448532,True,True
1763931999.044,kreo2,886,192,812,,,,0.5740061886457402,0.2824970203497011,-0.11099873962774598,0.6655974403082389,0.2602497218038267,-0.03818624513448532,True,True
1763931999.054,kreo1,446,435,1348,,,,0.5740061886457402,0.2824970203497011,-0.11099873962774598,0.668664128646872,0.26868660804673183,-0.04999135123634671,True,True
1763931999.082,kreo1,446,434,1276,,,,0.5740061886457402,0.2824970203497011,-0.11099873962774598,0.668664128646872,0.26868660804673183,-0.04999135123634671,True,True
1763931999.114,kreo1,446,438,1250,,,,0.5740061886457402,0.2824970203497011,-0.11099873962774598,0.668664128646872,0.26868660804673183,-0.04999135123634671,True,True
1763931999.139,kreo2,886,195,808,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.668664128646872,0.26868660804673183,-0.04999135123634671,True,True
1763931999.174,kreo2,886,195,784,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6661363268005842,0.2616901017212394,-0.04027591613809084,True,True
1763931999.216,kreo1,444,438,1232,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6547998267170732,0.23492342107921504,-0.0030116325348585327,True,True
1763931999.247,kreo2,886,196,832,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6547998267170732,0.23492342107921504,-0.0030116325348585327,True,True
1763931999.255,kreo1,444,438,1252,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6547998267170732,0.23492342107921504,-0.0030116325348585327,True,True
1763931999.275,kreo2,887,197,804,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6702248928270984,0.27338506458481454,-0.05654737159564169,True,True
1763931999.308,kreo2,886,197,804,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6702248928270984,0.27338506458481454,-0.05654737159564169,True,True
1763931999.335,kreo1,446,438,1230,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6702248928270984,0.27338506458481454,-0.05654737159564169,True,True
1763931999.339,kreo2,886,199,800,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6702248928270984,0.27338506458481454,-0.05654737159564169,True,True
1763931999.360,kreo1,446,438,1248,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6702248928270984,0.27338506458481454,-0.05654737159564169,True,True
1763931999.372,kreo2,885,199,764,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6702248928270984,0.27338506458481454,-0.05654737159564169,True,True
1763931999.407,kreo2,887,199,756,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6702248928270984,0.27338506458481454,-0.05654737159564169,True,True
1763931999.434,kreo1,445,435,1302,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.652830600748898,0.22979824646216263,0.004370934169681401,True,True
1763931999.455,kreo1,444,434,1290,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.652830600748898,0.22979824646216263,0.004370934169681401,True,True
1763931999.471,kreo2,888,199,796,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.652830600748898,0.22979824646216263,0.004370934169681401,True,True
1763931999.500,kreo1,444,433,1254,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6540255618019146,0.233031088991199,-0.00016487895395586594,True,True
1763931999.523,kreo2,889,199,774,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6540255618019146,0.233031088991199,-0.00016487895395586594,True,True
1763931999.540,kreo1,442,433,1272,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6689775127876997,0.26983823035595916,-0.051757259214784745,True,True
1763931999.556,kreo2,890,199,760,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6689775127876997,0.26983823035595916,-0.051757259214784745,True,True
1763931999.590,kreo2,890,199,766,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6670315668614765,0.2639893193187331,-0.043699962364624784,True,True
1763931999.630,kreo2,891,199,762,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6518219803895972,0.2269662161179486,0.00861793012094239,True,True
1763931999.665,kreo2,891,200,768,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6536587928897893,0.2322041031023861,0.0008079265918280454,True,True
1763931999.699,kreo1,439,437,1194,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6689939975202628,0.26942158280776857,-0.051293136934260214,True,True
1763931999.741,kreo1,438,441,1218,,,,0.5724300320191895,0.27895840867306376,-0.11197881162777262,0.6689939975202628,0.26942158280776857,-0.051293136934260214,True,True
1763931999.759,kreo2,892,203,742,,,,0.5743883356055718,0.28340127565554046,-0.10634796394271803,0.6689939975202628,0.26942158280776857,-0.051293136934260214,True,True
1763931999.777,kreo1,437,442,1154,,,,0.5743883356055718,0.28340127565554046,-0.10634796394271803,0.6689939975202628,0.26942158280776857,-0.051293136934260214,True,True
1763931999.808,kreo2,892,203,760,,,,0.5743883356055718,0.28340127565554046,-0.10634796394271803,0.6675893918121458,0.26563823574699225,-0.04605189112290553,True,True
1763931999.843,kreo2,892,203,760,,,,0.5743883356055718,0.28340127565554046,-0.10634796394271803,0.6695113115410575,0.27087670593952073,-0.053339165409311884,True,True
1763931999.880,kreo1,,,,,,,0.5743883356055718,0.28340127565554046,-0.10634796394271803,0.667712790184823,0.2665695470506174,-0.04715240222358161,False,True
1763931999.895,kreo1,,,,,,,0.5743883356055718,0.28340127565554046,-0.10634796394271803,0.667712790184823,0.2665695470506174,-0.04715240222358161,False,True
1763931999.908,kreo2,893,204,790,,,,0.5761137602565152,0.28792034069082817,-0.10005994859867573,0.667712790184823,0.2665695470506174,-0.04715240222358161,False,True
1763931999.941,kreo1,434,446,1176,,,,0.5761137602565152,0.28792034069082817,-0.10005994859867573,0.6529112121769755,0.23012402036636292,0.0038524319031325027,True,True
1763931999.970,kreo2,893,204,788,,,,0.5761137602565152,0.28792034069082817,-0.10005994859867573,0.6529112121769755,0.23012402036636292,0.0038524319031325027,True,True
1763932000.002,kreo2,893,204,758,,,,0.5761137602565152,0.28792034069082817,-0.10005994859867573,0.6543395350826582,0.2336616898395925,-0.0017562987388334839,True,True
1763932000.035,kreo2,893,204,736,,,,0.5761137602565152,0.28792034069082817,-0.10005994859867573,0.6529416046539256,0.23027363433298514,0.0036588111258716027,True,True
1763932000.063,kreo1,,,,,,,0.5761137602565152,0.28792034069082817,-0.10005994859867573,0.6529416046539256,0.23027363433298514,0.0036588111258716027,False,True
1763932000.110,kreo2,893,205,756,,,,0.5761137602565152,0.28792034069082817,-0.10005994859867573,0.6529416046539256,0.23027363433298514,0.0036588111258716027,False,True
